username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
thepianodaddy,Piano Daddy,https://twitter.com/thepianodaddy/status/1307248967848210432,"""Manja (Kai Po Che) Western Notes, Chords, Do Re Mi Notes, Staff Notes, Lyrics Available Here. 

 #AmitTrivedi #KaiPoChe #Piano #Music #Songs #Lyrics #Chords #Guitar https",2020-09-19 02:23:00,2,,0,,0,AmitTrivedi | KaiPoChe | Piano | Music | Songs | Lyrics | Chords | Guitar,8,,https://pbs.twimg.com/media/EiRIAkBWoAE9wCe.jpg
mathewmatters,Mathew Thankachan,https://twitter.com/mathewmatters/status/1306494503776206849,"""What is fascinating is that films from #sholay to #abhimaan, from #bhoot to #rangeela, from #fashion to #queen, from #kaipoche to #sonchiriya have just shown me the brilliant side of phenomenal actors in @SrBachchan #JayaBachchan @KanganaTeam @UrmilaMatondkar @itsSSR (1/4)… https",2020-09-17 00:25:00,1,,2,SrBachchan | KanganaTeam | UrmilaMatondkar | itsSSR,4,sholay | abhimaan | bhoot | rangeela | fashion | queen | kaipoche | sonchiriya | JayaBachchan,9,,https://pbs.twimg.com/media/EiGZyvdVkAEYW_U.jpg
aviikmukherjee,Avik Mukherjee,https://twitter.com/AviikMukherjee/status/1306550000529231874,"""#kaipoche #bhokatta @ Sheoraphuli, India https",2020-09-17 04:06:00,,,0,,0,kaipoche | bhokatta,2,,
echothevoice,Goonj,https://twitter.com/echothevoice/status/1307740090337079296,"""#Message4SSR
U r badly missed by every1 SSR.
I admired d way u had d enthusiasm of learning something new.
I loved d way u wrote down ur thoughts,plans & dreams.
There was charm in u,which made me ur huge fan when I saw #Kaipoche #msdhoni  #ByomkeshBakshi @NiloP @shwetasinghkirt""",2020-09-20 10:55:00,1,1,0,NiloP | shwetasinghkirt,2,Message4SSR | Kaipoche | msdhoni | ByomkeshBakshi,4,,
mac_vivek24,V_vek_mac,https://twitter.com/Mac_vivek24/status/1305722567680950272,"""Ha maja hai zindagi, nasha hai zindagi, 
Dhire dhire chadegi❤

#kaipoche
@RajkummarRao 
@itsSSR 
#amitsadh""",2020-09-14 21:18:00,1,,0,RajkummarRao | itsSSR,2,kaipoche | amitsadh,2,,
charu_raikwar,Mess By Chance,https://twitter.com/charu_raikwar/status/1305774032868880384,"""I can't get over @TheAmitSadh since #kaipoche 
You are getting best day by day ☺️
#avrodhseries… """,2020-09-15 00:42:00,,,0,TheAmitSadh,1,kaipoche | avrodhseries,2,,https://pbs.twimg.com/media/Eh8KBHDU8AAlGLM.jpg
,,https://twitter.com/manishsh1974/status/1306993434243272705,"""😂 the only movie I liked was #kaipoche because it had a good storyline. All other movies were as ordinary as his ordinary acting.… https",2020-09-18 09:28:00,2,,0,,0,kaipoche,1,,
,,https://twitter.com/MickyGupta84/status/1305871365732532225,"""The spirit of the movie #KaiPoChe is so important. Hate gets us nowhere. Ultimately everyone loses when we are driven by hate. Those using Sushant's death to spread hate & target people need to understand the message of the movie  - the risks of succumbing to hate is too costly""",2020-09-15 07:09:00,5,1,1,,0,KaiPoChe,1,,
,,https://twitter.com/freespirit1802/status/1307326434818498562,"""Watching on Netflix #kaipoche #ishan💔… """,2020-09-19 07:31:00,2,,0,,0,kaipoche | ishan,2,,
,,https://twitter.com/_Mansi__/status/1306880263578886146,"""N Today I got the answer..

  ""Girte sambhalte chaltee ladkhadaye..
     Ha magar yeh Hoslaa na Dagmagaayee
Armaano ki patang ko Udayeee...""💯
 
Ps",2020-09-18 01:58:00,,,0,,0,,0,,
chittesh67,Chittesh,https://twitter.com/chittesh67/status/1305054001440804865,"""Bullshit..this was nothing as compared to his performance in #kaipoche..
His performance is that film made me his fan..what a great actor.… https",2020-09-13 01:01:00,1,,0,,0,kaipoche,1,,
vasudhabutta,vasudha butta,https://twitter.com/vasudhabutta/status/1307157711746785281,"""When did you take this interview @smitaparikh2 ?? He is talking about Sonchiriya and he did Chichhore after that.  I absolutely loved how he answered every question with such deep answers. I watched #Kaipoche one week before he died just because I wanted to watch @itsSSR 💖💫""",2020-09-18 20:20:00,,,0,smitaparikh2 | itsSSR,2,Kaipoche,1,,
mickygupta84,Saurabh Gupta(Micky),https://twitter.com/MickyGupta84/status/1305867347362828288,"""The real tribute to @itsSSR would be understanding the  spirit of this song from #KaiPoChe . 

Roothe khwaabon ko manalenge
Kati patangon ko thaamenge
Ho ho hai jazba, ho ho hai jazba
Suljhalenge uljhe rishton ka manja

https",2020-09-15 06:53:00,2,1,1,itsSSR,1,KaiPoChe,1,,
riaalitycheck,Ria,https://twitter.com/RIAAlityCheck/status/1307016991488708608,"""#danceforjustice #danceforsushant  @GHiwarkar . Performed this as a tribute to Sushant. I'm not a trained dancer but I tried. Kindly pardon any mistakes. @GHiwarkar 
#Shubharaambh #KaiPoChe #Sushant #SushantSinghRajputCase #WorldUnited4SSR #WarriorsRoar4SSR #Warriors4SSR… https",2020-09-18 11:01:00,11,6,3,GHiwarkar | GHiwarkar,2,danceforjustice | danceforsushant | Shubharaambh | KaiPoChe | Sushant | SushantSinghRaj | WorldUnited4SSR | WarriorsRoar4SS | Warriors4SSR,9,,
jhattackc,JhattackMeats ࿗,https://twitter.com/JhattackC/status/1307792280716152832,"""Watched #kaipoche today.  Damn #sushantsinghrajput was such a gifted actor. What a loss.""",2020-09-20 14:22:00,3,,0,,0,kaipoche | sushantsinghraj,2,,
bharti96017652,Bharti,https://twitter.com/Bharti96017652/status/1305203107538837504,"""Last secene of #kaipoche made me cry 
Everytime
#missyouhanbin #FocusOnMurderofSSR""",2020-09-13 10:54:00,1,1,0,,0,kaipoche | missyouhanbin | FocusOnMurderof,3,,
iam_aryansg,Aryan Sen Gupta,https://twitter.com/iam_aryansg/status/1308101562921701377,"""Sushant bhai, its more than 10pm i was confused to post a message as i was fighting with myself to disagree u r not here.Wherever you are be happy.U inspired me a lot through instagram since 2016.I will never believe my beloved Ishan bhai from #Kaipoche is not here.
#Message4SSR… https",2020-09-21 10:51:00,6,5,0,,0,Kaipoche | Message4SSR,2,,https://pbs.twimg.com/media/EidPcBtU0AAORbC.jpg
akanksh66792121,Akanksha Jha,https://twitter.com/Akanksh66792121/status/1307276048908734464,"""#SSRVisceraTruthNow 

He is so blessed na ..he brought the entire universe together for his justice ✨✨

We will fight for him till the end.. let's celebrate this superstar who is an inspiration for Millions ❣️❣️

#KaiPoChe #Ishaan #SSR #Love😍… https",2020-09-19 04:11:00,147,77,8,,0,SSRVisceraTruth | KaiPoChe | Ishaan | SSR | Love,5,,
itsssr4747,SSR 4 EVER ,https://twitter.com/itsSSR4747/status/1306154544250761221,"""BREAKING 

Another Maharashtra Govt Cover-up on Cooper 

MSHRC Gives clean chit to Cooper Hospital 

MSHRC silent on Rhea's presence in Mortuary 

MSHRC",2020-09-16 01:54:00,12,22,0,,0,,0,,https://pbs.twimg.com/media/EiBkmAYXsAAS_kb.jpg | https://pbs.twimg.com/media/EiBkmoyXcAAKwYy.jpg | https://pbs.twimg.com/media/EiBknTgWsAEvebq.jpg | https://pbs.twimg.com/media/EiBkn8MWAAAnQY4.jpg
mr_suryavana,Ravi Prasad ,https://twitter.com/Mr_Suryavana/status/1306218571068891136,"""Let's Boycott ""Laxmmi Bomb"" just for SSR. 
#JusticeforSushantSingRajput
#BoycottBollywood 
#BoycottLaxmmiBomb""",2020-09-16 06:09:00,8,5,0,,0,JusticeforSusha | BoycottBollywoo | BoycottLaxmmiBo,3,,
arnabkgoswami,Arnab Goswami,https://twitter.com/ArnabKGoswami/status/1306985723497598976,"""CBI Is Going Very Slow. We Trust U CBI, 
Sushanth & Disha Both Was Murdered.
CBI Please Try Understand We Want Justice For Disha & Sushanth Please.

#JusticeForDisha @ArnabKGoswami 

Retweet Max If Want 2 Request CBI… https",2020-09-18 08:57:00,525,462,47,ArnabKGoswami,1,JusticeForDisha,1,,https://pbs.twimg.com/media/EiNYglGVgAIuEhY.jpg
,,https://twitter.com/RupshaD40658475/status/1305955172506533889,"""His death was updated on the wikipedia most probably in the morning around 8-9am...And the incident happened around 10",2020-09-15 12:42:00,1,1,0,,0,,0,,
makwana_rashmi,rashmi makwana,https://twitter.com/makwana_rashmi/status/1308032523583344642,"""#Message4SSR @shwetasinghkirt @nilotpalm3 @NrisukJ . Message from my mum for Sushant’s Family and #Warriors4SSR. 🙏❤️🙏… https",2020-09-21 06:17:00,"1,424",560,63,shwetasinghkirt | nilotpalm3 | NrisukJ,3,Message4SSR | Warriors4SSR,2,,
pintu06513407,Pintu,https://twitter.com/Pintu06513407/status/1297893619542589440,"""क्या आपके आध्यात्मिक गुरु संत पूर्ण हैं?
आपने चर्चा के दौरान अपने आध्यात्मिक गुरु की बात की। यदि आपके आध्यात्मिक गुरु पूर्ण संत नहीं हैं तो उनकी शरण में रहकर आप जन्म और मरण के रोग से मुक्ति नहीं पा सकते।
#manojbajpayee #bollywood #bihari #bollywoodmovies #binod #sushantsinghra… https",2020-08-24 06:48:00,2,2,0,,0,manojbajpayee | bollywood | bihari | bollywoodmovies | binod | sushantsinghra,6,,https://pbs.twimg.com/media/EgMLGI_UEAEsA65.jpg
parmodk84178641,parmodkumarkashyap,https://twitter.com/parmodk84178641/status/1293559523555151872,"""#बॉलीवुड #अभिनेता सुशांत सिंह राजपूत ने  मुंबई में अपने घर में कर ली आत्महत्या ॥
ॐ शांति ॐ 🙏
#RIP #SushantSinghRa https",2020-08-12 07:46:00,,,0,,0,ब | अभ | RIP | SushantSinghRa,4,,
,,https://twitter.com/BodhayanNSharma/status/1272251278035505152,"""उसने सच निगला होगा और मुंह से अल्फ़ाज़ निकलते तो बच जाता,
मुंह से जान निकली है उसकी...बोधायन
#बोधायन_निपुण_शर्मा
#बोलती_तस्वीरें #बोधक_उज्जास #कहानियों_की_चारदिवारी #सुखद_आर्ट_कैफ़े #सुशांत_सिंह_राजपूत @itsSSR #ripsushant #sushantsinghra""",2020-06-14 12:35:00,2,,0,itsSSR,1,ब | ब | ब | कह | स | स | ripsushant | sushantsinghra,8,,
acceptorham,Acceptorham,https://twitter.com/acceptorham/status/915803981590515713,"""Sara Ali Khan Pataudi leaves for the IIFA!  ️️️
.
.
#saraalikhan #SushantSinghRa… https",2017-10-04 22:00:00,,,0,,0,saraalikhan | SushantSinghRa,2,,https://pbs.twimg.com/media/DLWW3eIV4AArg72.jpg
hnlhindi,Headline Hindi,https://twitter.com/hnlhindi/status/1301171377156677634,"""सुशांत के केस में सोशल मीडिया पर उनकी गर्लफ्रेंड रिया चक्रवर्ती पर गंभीर आरोप लगाए जा रहे हैं| #vidyabalan #sushantsinghra...
https",2020-09-02 07:53:00,,,0,,0,vidyabalan | sushantsinghra,2,,
hnlmarathi,Headline Marathi,https://twitter.com/hnlmarathi/status/1284163758055518209,"""अनेकांनी सुशांतच्या मृत्यूची सीबीआय चौकशी करण्याची मागणी केली|
#SushantSinghRa...
https",2020-07-17 09:31:00,,,0,,0,SushantSinghRa,1,,
guardianlifeng,Guardian Life NG,https://twitter.com/GuardianLifeNG/status/1272425947501912064,"""Bollywood star Sushant Singh Rajput has been found dead at the age of 34 and the Mumbai police spokesperson DCP Pranay Ashok has said they are investigating an alleged suicide. #KaiPoChe #SushantSinghRajput #Sushantsinghrajput #Bollywood #sushantsinghra... https",2020-06-15 00:09:00,,,0,,0,KaiPoChe | SushantSinghRaj | Sushantsinghraj | Bollywood | sushantsinghra,5,,
bollywood_rani,Bollywood Ki Rani,https://twitter.com/Bollywood_Rani/status/1095053749813301248,"""Latest Bollywood News From Bollywood Ki Rani #SalmanKhan #SushantSinghRa... https",2019-02-11 12:15:00,1,,0,,0,SalmanKhan | SushantSinghRa,2,,
raqooq5,#EidMubarak2015,https://twitter.com/raqooq5/status/636929476140638208,"""RT",2015-08-27 08:53:00,,,0,,0,,0,,
simu4223,Simran,https://twitter.com/simu4223/status/1297792368297545733,"""The only cause of our sufferings is our sinful deeds in the previous life but if we take initiation from Sant rampalji and follow the true way of worship our sins can be destroyed 
#manojbajpayee #bollywood #bihari #bollywoodmovies #binod #sushantsinghra… https",2020-08-24 00:06:00,,,0,,0,manojbajpayee | bollywood | bihari | bollywoodmovies | binod | sushantsinghra,6,,https://pbs.twimg.com/media/EgKvSClXsAAZR0-.jpg
dpn__india,DPNindia,https://twitter.com/DPN__India/status/1272891747534876675,"""It Has Broken me Completely",2020-06-16 07:00:00,3,,0,,0,,0,,https://pbs.twimg.com/media/Eao4THvWoAIv65a.jpg
boycottbollywo7,BoycottBollywood.in,https://twitter.com/boycottbollywo7/status/1289364667668869126,"""The sister of late actor Sushant Singh Rajput, Shweta Singh Kirti, has supported Ankita Lokhande on social media. Both of them posted about truth and how truth will eventually win.  ##Indiaforsushant#Godpleasehelpus#Seekingstrengthandunity” #SushantSinghRa https",2020-07-31 17:57:00,1,1,0,,0,Indiaforsushant | SushantSinghRa,2,,https://pbs.twimg.com/media/EeS-VRuWkAABsga.jpg
premalochak,Prem Alochak,https://twitter.com/PremAlochak/status/719834609270321152,"""RT Happykritisanon ""RT toiphotogallery",2016-04-12 03:28:00,,,0,,0,,0,,https://pbs.twimg.com/media/Cf1bfJkUEAAPMwZ.jpg
bollywoodtota,BollywoodTOTA,https://twitter.com/BollywoodTota/status/1302409163419594752,"""Entertainer Sushant Singh Rajput's troublesome demise is at present under scrutiny.

 #cbi #Depression #MeetuSingh #Mentalhealth #MentalIllness #News #rheachakraborty #SSR #sushantsinghrajput #SushantSinghRajputcase #SushantSinghRajputdeath #SushantSinghRa https",2020-09-05 17:51:00,1,1,0,,0,cbi | Depression | MeetuSingh | Mentalhealth | MentalIllness | News | rheachakraborty | SSR | sushantsinghraj | SushantSinghRaj | SushantSinghRaj | SushantSinghRa,12,,https://pbs.twimg.com/media/EhMWO3CXYAAo4v-.jpg
abuhena64570973,Abu Hena,https://twitter.com/AbuHena64570973/status/1287627290986205190,"""CBI MUST Inquiry on this Black Bag #CBIinquiryforSushant #SushantSinghRa... https",2020-07-26 22:54:00,,,0,,0,CBIinquiryforSu | SushantSinghRa,2,,
techweu,TechWeu,https://twitter.com/TechWeu/status/1272120386889515008,"""Condolences messages for actor Sushant Singh Rajput, Who Died Today - TechWeu
https",2020-06-14 03:55:00,2,2,0,,0,,0,,https://pbs.twimg.com/media/Ead6v5GU8AAxatQ.jpg
thisismalawi,This is Malawi,https://twitter.com/ThisIsMalawi/status/1272601287545237505,"""India (AP) — Popular Bollywood actor Sushant Singh Rajput was found dead at his Mumbai residence on Sunday, police and Indian media reports said.
#SushantSinghRa https",2020-06-15 11:46:00,,,0,,0,SushantSinghRa,1,,https://pbs.twimg.com/media/EakwIIEX0AEAmCi.jpg
madhuparnamukh2,Madhuparna Mukhopadhyay,https://twitter.com/MadhuparnaMukh2/status/1307709856485318657,"""The #Warriors4SSR are intelligent. 
They can't be broken by paid PR attacks.
We know whom to trust and whom to not.
So PR can save the energy ...no need of using the cheap tricks with us.
We are one United family whose only motto is to get justice.
Nothing else matters!… https",2020-09-20 08:55:00,533,215,16,,0,Warriors4SSR,1,,
hnlenglish,Headline English,https://twitter.com/hnlenglish/status/1307166110333034496,"""Himansh Kohli says many people are happy with Rhea's arrest #bollywoodactor #himanshkohli #rheachakrabortyarrest #sushantsinghra...
https",2020-09-18 20:54:00,,,0,,0,bollywoodactor | himanshkohli | rheachakraborty | sushantsinghra,4,,
poojasr64973652,Pooja Srivastava Justice for SSR,https://twitter.com/PoojaSr64973652/status/1307712266469601281,"""Nice one Sir,🙏👏. It's an answer to all those who are manipulating mind of people who have been United for Justice.

PS- Don't get manipulated by PR campaigns & their opinions!! Their strategy is to divide us. 

#Warriors4SSR 
#SSRDishaHomicide… https",2020-09-20 09:04:00,529,273,16,,0,Warriors4SSR | SSRDishaHomicid,2,,
maaka_naka_naka,Anusha Pai,https://twitter.com/Maaka_Naka_Naka/status/1308094809450577923,"""Bollywood seems to be checking of all the best in class social services in a tearing hurry. FOOLS. 
#Warriors4SSR @ishkarnBHANDARI… https",2020-09-21 10:24:00,341,138,6,ishkarnBHANDARI,1,Warriors4SSR,1,,
ferocioussoul1,Ferocious Soul,https://twitter.com/FerociousSoul1/status/1307910406988378115,"""#Warriors4SSR V HV TO FIGHT A LONG/BATTLE FR JUSTICE,
STARTS FRM ""SSR"" BUT WILL GO ON UNTIL EVRY COMMON MAN FEELS SAFE IN COUNTRY,
SO NEVER GIVE UP,
MP/MLA/POLICE/CORPORATES/LOCAL SYSTEM ALL R DOMINATED BY BOLLYWOOD MAFIA,
SO TO END EVRY CRIME IN INDIA,WE NEED TO END BOLLYWOOD… https",2020-09-20 22:11:00,2,,0,,0,Warriors4SSR,1,,https://pbs.twimg.com/media/EiahkOLUwAArfW6.jpg | https://pbs.twimg.com/media/Eiahk3kUMAU99LN.jpg
realme_shona,Shona,https://twitter.com/Realme_Shona/status/1307986794156228608,"""I believe n stand by hm. #Warriors4SSR… """,2020-09-21 03:15:00,,,0,,0,Warriors4SSR,1,,https://pbs.twimg.com/media/EibnDpOUMAALqXK.jpg
poorna57131015,Poorna,https://twitter.com/Poorna57131015/status/1308063403475304458,"""#Warriors4SSR will stay united. Even if something starts distracting us we immediately have @ishkarnBHANDARI @ishkaranb catching us and putting us back on track. We now are slowly understanding the true meaning of ""Empty vessels make more sound""#Warriors4SSR unity is our strength""",2020-09-21 08:19:00,1,2,0,ishkarnBHANDARI | ishkaranb,2,Warriors4SSR | Warriors4SSR,2,,
i_drohi,Drohi - Rajput Warrior,https://twitter.com/i_Drohi/status/1307675030671818752,"""Seriously? This is trending? 

We are free to take whatever he says with a dose of disbelief (much like a few others on twitter). But this is too much. 

CBI would not be on the case without his involvement.
#Warriors4SSR… https",2020-09-20 06:36:00,82,42,33,,0,Warriors4SSR,1,,https://pbs.twimg.com/media/EiXKypQX0AE2OhT.png
hisfanforlife47,Neha Yadav,https://twitter.com/hisfanforlife47/status/1308001457963036672,"""We are proud member of ISBP ! #Warriors4SSR  @ishkarnBHANDARI 
@Swamy39… """,2020-09-21 04:13:00,1,2,0,ishkarnBHANDARI | Swamy39,2,Warriors4SSR,1,,https://pbs.twimg.com/media/Eib0ZKwVgAIB1c3.jpg
nitikag28659287,Neeti,https://twitter.com/NitikaG28659287/status/1308070936466264065,"""United for SSR #Warriors4SSR… """,2020-09-21 08:49:00,1,1,1,,0,Warriors4SSR,1,,
iravitiwari,Ravi Tiwari Bihari,https://twitter.com/iRaviTiwari/status/1307960850360053760,"""Many Friends here frm Day one 4 Justice.
But Now a days many people targeting .

But you all know @lostsoul_apu @rupali0023 @Imkgauravmishra @vikashranjan @MeenaDasNarayan @Swamy39 @ishkarnBHANDARI . ALL r real         #Warriors4SSR 
Time 4 united because justice war is not easy""",2020-09-21 01:32:00,878,405,48,lostsoul_apu | rupali0023 | Imkgauravmishra | vikashranjan | MeenaDasNarayan | Swamy39 | ishkarnBHANDARI,7,Warriors4SSR,1,,
girlforjustice,Richa I Justice for our Photon,https://twitter.com/GirlForJustice/status/1307957373340848129,"""Guys we need to tag ED and ask about Priyanka Khimani!

Very IMPORTANT.

She was contacted by Sush bw 9th - 11th on his press conference on Disha's death.

Let's trend her name ""Priyanka Khimani"" with #Warriors4SSR 

Draft in next tweet of mine.… https",2020-09-21 01:18:00,160,116,25,,0,Warriors4SSR,1,,https://pbs.twimg.com/media/EibMTC_VoAIcNtm.jpg
_twitty47_,Tinni,https://twitter.com/_Twitty47_/status/1307711667061452800,"""Many are attacking #Warriors4SSR by fake rumours and trying to divide us...and break our strong unity! 
We all must be aware of all those fake accounts and people, who are trying to break us!
Lets keep ourselves UNITED! 🙏
No PR can break us nd our unity 
@ishkarnBHANDARI Sir 🙌… https",2020-09-20 09:02:00,951,405,39,ishkarnBHANDARI,1,Warriors4SSR,1,,
ishkarnbhandari,Ishkaran Singh Bhandari,https://twitter.com/ishkarnBHANDARI/status/1306270613405757440,"""Thank you 🙏 

All are #Warriors4SSR… """,2020-09-16 09:35:00,"1,738",498,49,,0,Warriors4SSR,1,,
bannhi1,Bannhi Bhattacharyya,https://twitter.com/bannhi1/status/1307960070378942464,"""#Warriors4SSR

We are unstoppable""",2020-09-21 01:29:00,1,4,0,,0,Warriors4SSR,1,,
sandhyarathore0,Sandhya Rathore,https://twitter.com/SandhyaRathore0/status/1307971534263205888,"""#Warriors4SSR  we have to stay United… """,2020-09-21 02:14:00,,3,0,,0,Warriors4SSR,1,,
sandschet,Sandschet,https://twitter.com/Sandschet/status/1308108652243345408,"""She had no freaking idea that the same death case she had been pushing her favourite depression theory for, would have her drag to @narcoticsbureau exactly three months from that post. 
Repeat after me. Karma is a ___ ?
#Warriors4SSR… https",2020-09-21 11:19:00,526,261,65,narcoticsbureau,1,Warriors4SSR,1,,
vikirti,vishal kirti,https://twitter.com/vikirti/status/1305326600779522049,"""Occasionally,I will share some sweet memory of Sushant with the “Extended Family”so that we slowly heal while the fight for justice is on. Needless to say, we are so thankful for the support we have received from the #Warriors4SSR in the pursuit of justice.https",2020-09-13 19:04:00,"14,230","3,350",563,,0,Warriors4SSR,1,,
ishkarnbhandari,Ishkaran Singh Bhandari,https://twitter.com/ishkarnBHANDARI/status/1307956319748370435,"""If you get de-motivated then people who want to stop you succeed.

Remember War is not easy, propaganda & disinformation is spread by many tricks.

We havnt come so far to stop #Warriors4SSR !

Retweet- All who will fight & are united.""",2020-09-21 01:14:00,"8,432","4,970",434,,0,Warriors4SSR,1,,
arnabkgoswami,Arnab Goswami,https://twitter.com/ArnabKGoswami/status/1306981374620872705,"""CBI Hurry Up , We Don't Understand Your Investigation Please.

#JusticeForDisha @ArnabKGoswami… """,2020-09-18 08:40:00,263,220,31,ArnabKGoswami,1,JusticeForDisha,1,,https://pbs.twimg.com/media/EiNUn_JUcAYjDp5.jpg
ishkarnbhandari,Ishkaran Singh Bhandari,https://twitter.com/ishkarnBHANDARI/status/1307709301134258176,"""Paid PR attacks won’t stop Me & other #Warriors4SSR 

Arnab Goswami Sunday debate.

https",2020-09-20 08:52:00,"3,995","1,318",186,,0,Warriors4SSR,1,,https://pbs.twimg.com/profile_images/1067341186497736704/95V6t2w3_normal.jpg
yessirtns,Subba Rao,https://twitter.com/yessirtns/status/1306983400272609282,"""Evidently that after Uddhav Thackeray  threatening Arnab Goswami with breach of privilege in the Maharashtra Assembly, ARNAB is blatantly calling  PENGUIN & BABY PENGUIN in today's debate...

BETTER LATE THAN NEVER...

🐧🐧

😂😂😂😂

#JusticeForDisha""",2020-09-18 08:48:00,291,150,4,,0,JusticeForDisha,1,,
republic,Republic,https://twitter.com/republic/status/1306985554991484928,"""#JusticeForDisha | The fact that Rohan Rai has been missing from that day makes it evident that there is a threat",2020-09-18 08:56:00,873,407,43,,0,JusticeForDisha,1,,
im_vandy,Vandy,https://twitter.com/im_vandy/status/1307025853843292160,"""She had dreams,
She wanted to live,
She had family, BUT
She was threatened, 
She was brutally raped,
She was injured,
She was thrown,
She was Backstabbed by her own colleagues,
Now all SHE need is #Justice to rest in peace 🙏😪
So I & WE ALL WANT  #JusticeForDisha… https",2020-09-18 11:37:00,355,237,11,,0,Justice | JusticeForDisha,2,,https://pbs.twimg.com/media/EiN9FgpUYAAnQpT.jpg
interlude_min,JUSTICE FOR SUSHANT/Min Suga Interlude⁷,https://twitter.com/interlude_min/status/1307126812842119179,"""#JusticeForDisha
Justice for Sushant and Disha… """,2020-09-18 18:18:00,240,170,5,,0,JusticeForDisha,1,,https://pbs.twimg.com/media/EiPY5qRXsAEJ2Wp.jpg
republic,Republic,https://twitter.com/republic/status/1306984070061023232,"""#JusticeForDisha | It's quite obvious that there was a lot of pressure for the Mumbai Police to act this way, we don't know who they are trying to protect",2020-09-18 08:50:00,516,285,61,,0,JusticeForDisha,1,,
remember2ndoct, Vijay Salgaonkar Ver 2.0 Unpatched ,https://twitter.com/Remember2ndOct/status/1307215673404211201,"""Told you 4 days ago",2020-09-19 00:11:00,616,256,61,,0,,0,,https://pbs.twimg.com/media/EiQpuB3VoAAjJE8.jpg
ahaana_uk,M,https://twitter.com/Ahaana_UK/status/1306981909835251715,"""IS IT POSSIBLE THAT DISHA'S BODY WAS DUMPED OUTSIDE THE BUILDING?

Looking at the area surrounding the bldg from an aerial view,we can see that the area is mainly open spaces.
Adj. to the bldg is a church,which was closed.

(CONTD)
#JusticeForDisha
#2BrutalMurders… https",2020-09-18 08:42:00,397,348,45,,0,JusticeForDisha | 2BrutalMurders,2,,https://pbs.twimg.com/media/EiNVEHwXkAABPdz.jpg
republic,Republic,https://twitter.com/republic/status/1306985810340634625,"""#JusticeForDisha | This is a clear cut-out case of culpable homicide, there is no doubt about it. There is circumstantial evidence to show that, Maharashtra Police has failed to look at it",2020-09-18 08:57:00,855,412,65,,0,JusticeForDisha,1,,
ana5_ssr,Ana,https://twitter.com/Ana5_SSR/status/1307178460188606464,"""I believe that this new witness 
(In Disha’a Case)is planted to divert our attention from what happened at the Farmhouse!
They want 2 eliminate the Farmhouse Party incident from the narrative completely!
Ofcourse Penguin Sena is at alert!

#JusticeForDisha  #EvidencesScreamMurder… https",2020-09-18 21:43:00,"1,559","1,137",105,,0,JusticeForDisha | EvidencesScream,2,,https://pbs.twimg.com/media/EiQHXAMU8AADFmu.jpg | https://pbs.twimg.com/media/EiQHYJvUMAE25An.jpg
remember2ndoct, Vijay Salgaonkar Ver 2.0 Unpatched ,https://twitter.com/Remember2ndOct/status/1307226125379141632,"""Name of the people who were there in party ..!!  

Disclaimer",2020-09-19 00:52:00,777,435,86,,0,,0,,https://pbs.twimg.com/media/EiQzOhsUYAECr5G.jpg
republic,Republic,https://twitter.com/republic/status/1306981658424348674,"""#JusticeForDisha | They have already covered up and concluded that it's suicide",2020-09-18 08:41:00,587,328,57,,0,JusticeForDisha,1,,
hazrasibangi,Sibangi,https://twitter.com/HazraSibangi/status/1306987803280990208,"""I don't know why, but I feel Rohan Rai is alive & he is hiding somewhere under pressure!!

But, Rohan Rai ""Disha"" was your love right, don't you feel you have a moral duty towards her??

Be man enough, Rohan Rai & help CBI!?

#JusticeForDisha… https",2020-09-18 09:05:00,298,238,17,,0,JusticeForDisha,1,,https://pbs.twimg.com/media/EiNaeqkWAAAk3h8.jpg
rhythms22,Rhythm Anand Bhardwaj,https://twitter.com/Rhythms22/status/1306987946243833856,"""#JusticeForSSR #JusticeForDisha 
1.Forensic experts say there were 2sets of injuries on #Disha one from the Fall,& one from trauma before fall
2.#RohanRai in hiding,spotted in Nagpur,now Haryana 
3.Sources-he is soon to be questioned.@republic
@Republic_Bharat reopens Disha case… https",2020-09-18 09:06:00,684,405,23,republic | Republic_Bharat,2,JusticeForSSR | JusticeForDisha | Disha | RohanRai,4,,https://pbs.twimg.com/media/EiNamkhVkAIxeR8.jpg
girlforjustice,Richa I Justice for our Photon,https://twitter.com/GirlForJustice/status/1306980944868302849,"""#JusticeForDisha
Not a single person has come out and spoken on Disha, none of her friends. What is so dark about it? We are sure there is a ""big"" fish a part in the heinous crime.
@republic""",2020-09-18 08:38:00,557,376,21,republic,1,JusticeForDisha,1,,
republic,Republic,https://twitter.com/republic/status/1306980731663515648,"""#JusticeForDisha | Disha Salian case",2020-09-18 08:37:00,"1,203",726,97,,0,JusticeForDisha,1,,
kanganaoffical,Kangana Ranaut,https://twitter.com/KanganaOffical/status/1306986665831874561,"""SC Kindly register case against,

- Maharashtra government
- Meme police
- Bollywood mafia

They all are equally involved in crime.

#JusticeForDisha""",2020-09-18 09:01:00,"3,026","1,193",172,,0,JusticeForDisha,1,,
